method_id,view,n,arm,stratum_id,block_id,cross,within,stress,cross_minus_within,cross_available_anchors,cross_missing_anchor_ids,cross_available_anchor_mean_secondary,within_missing_anchor_ids,stress_missing_anchor_ids
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-05,0.5,0.75,0.5,-0.25,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-06,1.0,0.75,1.0,0.25,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-07,0.5,1.0,0.5,-0.5,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-08,0.75,0.75,0.5,0.0,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-09,0.5,0.75,0.5,-0.25,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-02,stratum-02-block-10,0.75,0.75,0.75,0.0,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-01,0.75,0.75,0.75,0.0,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-02,1.0,1.0,1.0,0.0,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-03,0.5,0.5,0.75,0.0,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-04,0.5,0.75,0.5,-0.25,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-05,0.75,1.0,1.0,-0.25,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-06,0.75,1.0,0.75,-0.25,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-07,0.75,0.75,0.75,0.0,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-08,0.5,0.75,0.5,-0.25,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-09,1.0,1.0,0.5,0.0,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,full,stratum-03,stratum-03-block-10,0.75,1.0,0.5,-0.25,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-01,,,,,3,"[""A/Y""]",1.0,"[""A/Y""]","[""A/Y""]"
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-02,,,,,3,"[""B/X""]",1.0,"[""B/X""]","[""B/X""]"
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-03,1.0,1.0,1.0,0.0,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-04,0.75,0.75,0.75,0.0,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-05,0.75,1.0,1.0,-0.25,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-06,0.5,1.0,0.5,-0.5,4,[],0.5,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-07,1.0,1.0,1.0,0.0,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-08,1.0,0.75,1.0,0.25,4,[],1.0,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-09,0.75,0.5,0.75,0.25,4,[],0.75,[],[]
cosine_distance_v1,retained_prose,4,hash75,stratum-01,stratum-01-block-10,,,,,1,"[""A/X"",""A/Y"",""B/Y""]",1.0,"[""A/X"",""B/X"",""B/Y""]","[""A/X"",""B/Y""]"
